model,seed,run_role,source_run,config_id,question_id,area,level,temperature,top_p,repeat_penalty,max_tokens,top_k_rag,eval_mode,t_rag_s,t_gen_s,t_eval_s,t_total_s,overall_score,grounding_score,relevance_score,level_score,passed,is_fallback,fallback_correct,tokens_generated,tokens_per_sec,kw_score,chunks_retrieved,prompt_chars,timestamp,response_sha256,context_sha256
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,R1,reading,basic,0.3,0.9,1.1,512,5,full,3.322,54.75,0.221,58.293,0.826,0.777,0.788,1.0,True,False,,96,1.75,0.167,5,8141,2026-09-02T13:59:59.885363,3824c8d7e71615a2141273694632ae9a858cddffaa2178a229c0b7df4400920f,db02300968aaefe30fc08ae1c94400e679d93c12085f0e459813755b2efd3262
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,R2,reading,intermediate,0.3,0.9,1.1,512,5,full,3.553,49.241,0.264,53.059,0.767,0.819,0.852,0.493,True,False,,100,2.03,0.167,5,6115,2026-09-02T14:00:52.946519,e7a881fa1df4b69f52f80b763dae0ae5f925860e32319cb5c0be82a7c3005a06,14f60baa5b9db9108c4a882a32eb9f85182828f56e29b60e5598258e8e87a8f2
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,F1,general_english,intermediate,0.3,0.9,1.1,512,5,full,3.692,40.954,0.0,44.646,0.8,1.0,0.0,,True,True,True,84,2.05,,5,5883,2026-09-02T14:01:37.593879,eef48763e0e7b4b2f539923a8c373ee8ecf7c1ef6e0b37459272a0d604dd8804,6f7f00bedb67844780bdca3a9c6544b8b734543a569b40380bf9456eb653251e
Phi-4-mini,42,analysis,benchmark_20260902_140238.json,cfg_eval_full,F2,grammar,basic,0.3,0.9,1.1,512,5,full,4.53,55.716,0.226,60.472,0.73,0.679,0.646,1.0,True,False,False,81,1.45,,5,8738,2026-09-02T14:02:38.066336,28cbe0d90cc6efb804cbbe781bc3f7ba76c1b57032ef68a9f1efe50a9b97409e,cbf3d7cd13224b4d957cddf97ffb20cc2ffbd6c259d7fd50110bcf9ad08f7c30
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,G1,grammar,basic,0.3,0.9,1.1,512,5,full,6.824,66.89,0.189,73.903,0.77,0.719,0.708,1.0,True,False,,231,3.45,0.167,5,7867,2026-09-03T12:09:12.982585,d394efd1716031d240ccd72115b4ba6ed78abe45b9ef297d8c33d4ab77960424,ecd518b6b2eb4ee3bd7beb73f3dadc4142f73628beca625e29cf7bb6868884eb
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,G2,grammar,intermediate,0.3,0.9,1.1,512,5,full,3.978,60.239,0.211,64.429,0.837,0.805,0.803,0.967,True,False,,201,3.34,0.167,5,7780,2026-09-03T12:10:17.410752,3f7cea9962f375ed46750f05c9c93f640f99cccd32bd7a8c887e834120b19c97,5c56d394d24b0512555db2e1cd2b78b0a465c17dd82e30b0f97acce829a88c67
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,G3,grammar,advanced,0.3,0.9,1.1,512,5,full,4.399,60.861,0.179,65.439,0.847,0.902,0.858,0.712,True,False,,215,3.53,0.333,5,7835,2026-09-03T12:11:22.851985,77b716709e7552ac7716200a33fbc1deb73a8e008c4882a93afdb266509f202a,1f9515bcd7dc128a6f8188821572c87959d72bf6c51817f26b963400256f8e2a
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,G4,grammar,intermediate,0.3,0.9,1.1,512,5,full,6.175,70.763,0.252,77.189,0.854,0.853,0.781,1.0,True,False,,241,3.41,1.0,5,7834,2026-09-03T12:12:40.042623,2e3e6be8e7d048014eb65437fcaadd49a98b7c12e79c34343f60f7ffa2c6dfb4,1f056f414c9e25de9831f53b9d636a545b464ae0951b92fe38a930874194a674
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,V1,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.501,58.136,0.209,62.846,0.692,0.691,0.706,0.667,True,False,,154,2.65,0.667,5,7911,2026-09-03T12:13:42.889322,71010e0139ef05251908de5fecf311bb5efc1c3090e1a33bc6a6d94c1e1c370b,835c1d0e7e1dc9a425e17ce7b8b08396a996e72af55944e9acc254fe12f1f339
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,V2,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.338,81.268,0.185,85.791,0.837,0.793,0.799,1.0,True,False,,348,4.28,0.667,5,8004,2026-09-03T12:15:08.679772,c19c510bc99922b5be7d463339d10bb8bf4fc92bc95af2d014ffe4959dde65bb,8eb8f9c3afd70e702465f35d00d39212ea1427bc412d158ea763677806105888
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,V3,vocabulary,advanced,0.3,0.9,1.1,512,5,full,4.135,55.031,0.183,59.349,0.778,0.871,0.855,0.44,True,False,,143,2.6,0.333,5,8161,2026-09-03T12:16:08.029992,cde32dc163b3b43b987dddd02f6bb0979f77be2c07ec35da8667ba63960e2b73,6ad6dc25689dc7f435737aa3107eda3200330b3557b2dab6982928174aace480
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,W1,writing,basic,0.3,0.9,1.1,512,5,full,4.216,106.473,0.207,110.896,0.666,0.838,0.841,-0.03,True,False,,512,4.81,0.167,5,8773,2026-09-03T12:17:58.926961,b6d56aabada5fbc03246627f95242769247d9bf17257ad7f3dc7d63b163a47e4,a8d739bdc231e17287857234ef759351f381c6a90964f7b15818800af793f2d6
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,W2,writing,intermediate,0.3,0.9,1.1,512,5,full,4.819,58.23,0.2,63.25,0.8,0.864,0.823,0.627,True,False,,133,2.28,0.167,5,8667,2026-09-03T12:19:02.175616,c340d2c390be54da3991e26be315c70a469f1932fee9cda8a5eb475f6c64b6a7,71cf00ea40bd402183151004acf49afe0a17b34058b1be18b7c5123b68664b16
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,W3,writing,advanced,0.3,0.9,1.1,512,5,full,3.768,66.432,0.178,70.377,0.81,0.787,0.826,0.824,True,False,,282,4.24,0.167,5,8467,2026-09-03T12:20:12.554688,8969dbb7965a2c58ba87219fb92eded0327eed90c5e0c9bde3251fcef963a791,72bbcd3b95c2214fd24fe3b81ec2c039102e5255497b4dd29ddba4d34f489cd9
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,R1,reading,basic,0.3,0.9,1.1,512,5,full,3.055,52.631,0.195,55.881,0.815,0.749,0.788,1.0,True,False,,125,2.38,0.167,5,8141,2026-09-03T12:21:08.436471,0e88966f999574db11b4d82545d31f419c77ae9b15f4ae6d149b655eb7808c93,db02300968aaefe30fc08ae1c94400e679d93c12085f0e459813755b2efd3262
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,R2,reading,intermediate,0.3,0.9,1.1,512,5,full,3.241,36.103,0.172,39.517,0.771,0.848,0.852,0.453,True,False,,89,2.47,0.333,5,6115,2026-09-03T12:21:47.954010,00fa3170053256c8d8a294e17bc7dfe181abaa831dc0cdd49fe3b4d90e378b9b,14f60baa5b9db9108c4a882a32eb9f85182828f56e29b60e5598258e8e87a8f2
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,F1,general_english,intermediate,0.3,0.9,1.1,512,5,full,2.823,40.037,0.0,42.86,0.8,1.0,0.0,,True,True,True,28,0.7,,5,7741,2026-09-03T12:22:30.814810,2cd7c6065bba15afdee33767b26dd8bf7f3b2f95e6d261d5a12e398cd61f9f7d,fd6176fc94e64dfb4d8bf6af8365ecdeb51e82ba43d8d8356ae8f475b8c707ab
Phi-4-mini,7,analysis,benchmark_20260903_122324.json,cfg_eval_full,F2,grammar,basic,0.3,0.9,1.1,512,5,full,7.244,46.109,0.22,53.573,0.698,0.597,0.646,1.0,True,False,False,3,0.07,,5,8739,2026-09-03T12:23:24.387710,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bde37a9756c55970aff369a505665e39c813ff621c142b089fbe416cd0190e2b
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,G1,grammar,basic,0.3,0.9,1.1,512,5,full,6.274,52.495,0.211,58.979,0.774,0.727,0.708,1.0,True,False,,83,1.58,0.333,5,7867,2026-09-03T12:38:04.132232,d4fd4c7305bab2618011bc5b107590473875d9aeedb5fc211a8154601f61b91f,ecd518b6b2eb4ee3bd7beb73f3dadc4142f73628beca625e29cf7bb6868884eb
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,G2,grammar,intermediate,0.3,0.9,1.1,512,5,full,4.513,68.217,0.195,72.926,0.848,0.817,0.803,1.0,True,False,,257,3.77,0.0,5,7780,2026-09-03T12:39:17.060058,0fa139ff12019240f5c51f81de9b33f61fc8a0f7d98e242f52bff023482bbfa1,5c56d394d24b0512555db2e1cd2b78b0a465c17dd82e30b0f97acce829a88c67
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,G3,grammar,advanced,0.3,0.9,1.1,512,5,full,4.78,75.59,0.211,80.581,0.856,0.867,0.858,0.828,True,False,,254,3.36,0.5,5,7835,2026-09-03T12:40:37.641391,12b23a0cb26987f68cde3fc567a530911fd41272ffce4c805c6c038761ad70c1,1f9515bcd7dc128a6f8188821572c87959d72bf6c51817f26b963400256f8e2a
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,G4,grammar,intermediate,0.3,0.9,1.1,512,5,full,7.163,83.761,0.194,91.118,0.858,0.863,0.781,1.0,True,False,,268,3.2,0.833,5,7834,2026-09-03T12:42:08.758971,a07fb31c0a544a3f1e3221e6fad9de19095d8fae205eea0c6748c6d422b60259,49741244472d7e76394d7c3ca0fad202716e495d540586eaccf5bfdc103bed20
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,V1,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.707,62.332,0.221,67.26,0.679,0.669,0.706,0.647,True,False,,141,2.26,0.5,5,7911,2026-09-03T12:43:16.018883,de996c8a6ca69d3cdda6ac515322a2eb5ba71e0aeb27b2348f5dd2a9934a4099,835c1d0e7e1dc9a425e17ce7b8b08396a996e72af55944e9acc254fe12f1f339
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,V2,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.709,96.38,0.193,101.283,0.834,0.785,0.799,1.0,True,False,,512,5.31,0.833,5,8004,2026-09-03T12:44:57.304657,5adb6fc6141dcdcc837069fa6e33f0a9e74da720476e27a16a75710ee2b6f0c5,8eb8f9c3afd70e702465f35d00d39212ea1427bc412d158ea763677806105888
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,V3,vocabulary,advanced,0.3,0.9,1.1,512,5,full,3.734,56.109,0.247,60.091,0.784,0.881,0.855,0.452,True,False,,153,2.73,0.333,5,8161,2026-09-03T12:45:57.395416,18134c501a59b0e2b99ed2815e3324efbae863abe1b28e8242321c8f75d2d9f6,52e535d7caf69cd38904646b927135b73dd7318c4841be702c62afa3231f4fbc
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,W1,writing,basic,0.3,0.9,1.1,512,5,full,4.234,86.122,0.218,90.575,0.785,0.839,0.841,0.565,True,False,,371,4.31,0.167,5,8773,2026-09-03T12:47:27.969791,e363e4d90a7b64fc8270deee79580bfd73a0d92629fccb35f9a48b98cd3e63c0,a8d739bdc231e17287857234ef759351f381c6a90964f7b15818800af793f2d6
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,W2,writing,intermediate,0.3,0.9,1.1,512,5,full,3.821,80.325,0.178,84.324,0.873,0.86,0.823,1.0,True,False,,315,3.92,0.167,5,8667,2026-09-03T12:48:52.296533,16ecdd61678a17eaeb0b7def0a9fce7f1a36dc41f1e22511d3a77671f7543770,6e7772dc045809863cb021f3329e0e4f0d72fa7e9912628fd786dc20523a0ad4
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,W3,writing,advanced,0.3,0.9,1.1,512,5,full,4.312,67.326,0.203,71.841,0.815,0.828,0.826,0.764,True,False,,255,3.79,0.0,5,8467,2026-09-03T12:50:04.138092,1293df035c98a3f8fe8e2fd765b0ee8699f577d378abffc791faf0e4b08618b0,72bbcd3b95c2214fd24fe3b81ec2c039102e5255497b4dd29ddba4d34f489cd9
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,R1,reading,basic,0.3,0.9,1.1,512,5,full,4.451,53.429,0.217,58.096,0.839,0.81,0.788,1.0,True,False,,47,0.88,0.167,5,8141,2026-09-03T12:51:02.234138,9b1b2c754b2f36402b4e8bffd614ce10ed10f4ba7c1db907787e076f4c3d0fa9,db02300968aaefe30fc08ae1c94400e679d93c12085f0e459813755b2efd3262
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,R2,reading,intermediate,0.3,0.9,1.1,512,5,full,3.883,45.568,0.213,49.665,0.747,0.831,0.852,0.367,True,False,,73,1.6,0.333,5,6115,2026-09-03T12:51:51.900522,1769491cf95b2e6438ed2906c5a1742d395a8f509b4d12cc9cb949ded306f132,14f60baa5b9db9108c4a882a32eb9f85182828f56e29b60e5598258e8e87a8f2
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,F1,general_english,intermediate,0.3,0.9,1.1,512,5,full,3.563,56.189,0.0,59.752,0.8,1.0,0.0,,True,True,True,72,1.28,,5,7741,2026-09-03T12:52:51.652958,c551636e98c8d8c49025b3de8580b07386c706419b96ea7b9addd6bc30a0d1b7,a1ddf775aeac3ed25bfa8ccbbf920c3b3526087814416ca7bb02c7792a63b893
Phi-4-mini,123,analysis,benchmark_20260903_125347.json,cfg_eval_full,F2,grammar,basic,0.3,0.9,1.1,512,5,full,3.507,51.712,0.188,55.407,0.733,0.686,0.646,1.0,True,False,False,41,0.79,,5,8738,2026-09-03T12:53:47.046612,e29cb9ba9fd2673f233578bdcc2e7de4798e0adfc2781fd6f0641df1a6261271,972b33cc39af1e8214c847f6118bec6efe38b9454eff2abd4164868735e5d5a7
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,G1,grammar,basic,0.3,0.9,1.1,512,5,full,5.95,55.398,0.197,61.545,0.772,0.723,0.708,1.0,True,False,,154,2.78,0.333,5,7867,2026-09-03T13:07:44.387258,c3acb63d669912afde844d67882dfe086307c8e58823c6833c60c03f9d461528,ecd518b6b2eb4ee3bd7beb73f3dadc4142f73628beca625e29cf7bb6868884eb
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,G2,grammar,intermediate,0.3,0.9,1.1,512,5,full,3.957,43.071,0.172,47.2,0.698,0.782,0.803,0.32,True,False,,63,1.46,0.0,5,7780,2026-09-03T13:08:31.586772,3974af3d337dafd1f38d3ae76dd8534a03b9959935e77d9d7142e6d3dceac135,5c56d394d24b0512555db2e1cd2b78b0a465c17dd82e30b0f97acce829a88c67
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,G3,grammar,advanced,0.3,0.9,1.1,512,5,full,4.297,64.464,0.158,68.919,0.852,0.835,0.858,0.872,True,False,,272,4.22,0.333,5,7835,2026-09-03T13:09:40.506830,cde91b5a3b416a86f22791bb16d0fe5000e3e3081f4727dabada4a027a50acf2,1f9515bcd7dc128a6f8188821572c87959d72bf6c51817f26b963400256f8e2a
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,G4,grammar,intermediate,0.3,0.9,1.1,512,5,full,5.572,61.047,0.189,66.807,0.843,0.826,0.781,1.0,True,False,,216,3.54,0.667,5,7834,2026-09-03T13:10:47.316117,5c9fa6eee8f9c9fa5755e3daf445c3553482454b1572e83bc4b06c7a3fa25609,822147ac9d75798653cc8024f3a5c647b3a2e41e1c38bc1d95b75e46c6edc5fc
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,V1,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,4.109,64.377,0.178,68.664,0.752,0.673,0.706,1.0,True,False,,277,4.3,0.5,5,7911,2026-09-03T13:11:55.980416,cae0831495a3934f8288649476af69b65aecadb450a704d0ad90c22d2d645cd0,835c1d0e7e1dc9a425e17ce7b8b08396a996e72af55944e9acc254fe12f1f339
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,V2,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,3.887,54.581,0.167,58.635,0.803,0.804,0.799,0.807,True,False,,163,2.99,0.5,5,8004,2026-09-03T13:12:54.615440,f4f7ead3e44fca9362a4fd14f1a5a32907d3377b7777a759db680db0d81e6847,8eb8f9c3afd70e702465f35d00d39212ea1427bc412d158ea763677806105888
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,V3,vocabulary,advanced,0.3,0.9,1.1,512,5,full,3.765,56.45,0.166,60.381,0.806,0.864,0.855,0.592,True,False,,209,3.7,0.333,5,8161,2026-09-03T13:13:54.996813,c8fc116d3e841d4fd9be6c0479f06b17417c36c24fd8a3da82921ea6d3c8ccb5,52e535d7caf69cd38904646b927135b73dd7318c4841be702c62afa3231f4fbc
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,W1,writing,basic,0.3,0.9,1.1,512,5,full,3.722,50.138,0.202,54.062,0.888,0.88,0.841,1.0,True,False,,124,2.47,0.167,5,8773,2026-09-03T13:14:49.060657,373a74f94009b1d155fda61b8d03887a11b507f7aab987686f4199a47551d009,a8d739bdc231e17287857234ef759351f381c6a90964f7b15818800af793f2d6
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,W2,writing,intermediate,0.3,0.9,1.1,512,5,full,3.199,66.597,0.181,69.976,0.875,0.864,0.823,1.0,True,False,,295,4.43,0.333,5,8667,2026-09-03T13:15:59.037367,670bf9724b86b0d598c7bb4a0196e0b6ef5aded1952a96d124217d7417001338,b0de71aef302e81923f03407d684aa0222a54e4245c49c22178e725dc8ab6767
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,W3,writing,advanced,0.3,0.9,1.1,512,5,full,3.751,58.124,0.174,62.049,0.786,0.828,0.826,0.62,True,False,,208,3.58,0.333,5,8467,2026-09-03T13:17:01.086855,14b2ed725cedcf4ae179db8f011d3a83e980f66c16845bdd263e5070e2d1bee7,0c7fcc494ff17ab700cf3c5a82319a23f4ad23bc1eb7d621b2a4d9f928f9e640
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,R1,reading,basic,0.3,0.9,1.1,512,5,full,3.103,45.252,0.188,48.543,0.838,0.808,0.788,1.0,True,False,,44,0.97,0.167,5,8141,2026-09-03T13:17:49.628937,24128772c361e96a0f4b84fe0145bbaaaae873e8aa815df7eca59a8d9bb63488,db02300968aaefe30fc08ae1c94400e679d93c12085f0e459813755b2efd3262
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,R2,reading,intermediate,0.3,0.9,1.1,512,5,full,3.209,37.425,0.192,40.825,0.781,0.84,0.852,0.52,True,False,,99,2.65,0.333,5,6115,2026-09-03T13:18:30.455934,59c207ba1c8bc0fe5153dc874f7c8a8213bb0b5b747b0a5ef61f760e56fb14ce,14f60baa5b9db9108c4a882a32eb9f85182828f56e29b60e5598258e8e87a8f2
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,F1,general_english,intermediate,0.3,0.9,1.1,512,5,full,2.868,38.312,0.0,41.18,0.8,1.0,0.0,,True,True,True,28,0.73,,5,7741,2026-09-03T13:19:11.637187,2cd7c6065bba15afdee33767b26dd8bf7f3b2f95e6d261d5a12e398cd61f9f7d,8129465c329ce0f4d9ddb59107ab7a168dd9686767fcb7740f1add6705ac659a
Phi-4-mini,2026,analysis,benchmark_20260903_131956.json,cfg_eval_full,F2,grammar,basic,0.3,0.9,1.1,512,5,full,3.086,41.22,0.166,44.472,0.728,0.673,0.646,1.0,True,False,False,41,0.99,,5,8738,2026-09-03T13:19:56.109851,4c6971693b738bf39e69ff5b142a83080f91df0f90d7eaee78834a59a6e4d0a9,cbf3d7cd13224b4d957cddf97ffb20cc2ffbd6c259d7fd50110bcf9ad08f7c30
Phi-4-mini,42_repeat,determinism_control,benchmark_20260902_182028.json,cfg_eval_full,G1,grammar,basic,0.3,0.9,1.1,512,5,full,6.577,46.274,0.185,53.036,0.767,0.709,0.708,1.0,True,False,,74,1.6,0.333,5,7867,2026-09-02T18:06:47.974520,d8315a3df0e1f8b6f3f1f12e5874370d8b78b570dcc24f22d31e208e62214e28,ecd518b6b2eb4ee3bd7beb73f3dadc4142f73628beca625e29cf7bb6868884eb
Phi-4-mini,42_repeat,determinism_control,benchmark_20260902_182028.json,cfg_eval_full,G2,grammar,intermediate,0.3,0.9,1.1,512,5,full,3.934,59.559,0.167,63.661,0.844,0.807,0.803,1.0,True,False,,262,4.4,0.167,5,7780,2026-09-02T18:07:51.635848,fd3f86351d2311557d31d8385a9eef6517d41d4e211fba691783127b442b2514,5c56d394d24b0512555db2e1cd2b78b0a465c17dd82e30b0f97acce829a88c67
Phi-4-mini,42_repeat,determinism_control,benchmark_20260902_182028.json,cfg_eval_full,G3,grammar,advanced,0.3,0.9,1.1,512,5,full,4.102,61.702,0.167,65.97,0.842,0.835,0.858,0.824,True,False,,272,4.41,0.333,5,7835,2026-09-02T18:08:57.606353,7a9f67635763c4d77401214a8888518225be3bfed427efaa75f61ff2d5464bbc,1f9515bcd7dc128a6f8188821572c87959d72bf6c51817f26b963400256f8e2a
Phi-4-mini,42_repeat,determinism_control,benchmark_20260902_182028.json,cfg_eval_full,G4,grammar,intermediate,0.3,0.9,1.1,512,5,full,5.388,69.001,0.185,74.575,0.827,0.787,0.781,1.0,True,False,,309,4.48,0.167,5,7834,2026-09-02T18:10:12.181660,601e3a283d02c5d3986f0049aefb0402a76cf24d22bf7516eba56d8ad835039c,822147ac9d75798653cc8024f3a5c647b3a2e41e1c38bc1d95b75e46c6edc5fc
Phi-4-mini,42_repeat,determinism_control,benchmark_20260902_182028.json,cfg_eval_full,V1,vocabulary,intermediate,0.3,0.9,1.1,512,5,full,3.982,86.651,0.188,90.821,0.75,0.669,0.706,1.0,True,False,,495,5.71,0.5,5,7911,2026-09-02T18:11:43.004727,56468967197b18abada2522317f0ccdc1ab7f4e58ecd78945539d114588c3894,835c1d0e7e1dc9a425e17ce7b8b08396a996e72af55944e9acc254fe12f1f339
